id;nombre;horario;lat;lng;telefono
1;Cecy Flores Look&Lashes;08:00 a 19:00;-2.309.948;-78.124.482;967774700
2;Bissu;08:00 a 19:01;-2.303.198;-78.119.012;No dispone
